URI	Book	Period	Link	Type	Dates	0	100	200	300	400	500	600	700	800	900	1000	1100	1200	1300	1400
i3564	<span class="titleWord">الوافي بالوفيات i3564 A</span> لــ الصفدي (764 هـ)	8th cent.	<a class="astUrl" href="http://shiaonlinelibrary.com/الكتب/3590_الوافي-بالوفيات-الصفدي-ج-29" target="blank"><i>al-Maktaba al-Shīʿīya</i></a>	A	11657	0	1723	853	1089	1182	1249	1911	2316	1308	2	2	6	1	2	1
i3564	<span class="titleWord">الوافي بالوفيات i3564 B</span> لــ الصفدي (764 هـ)	8th cent.	<a class="astUrl" href="http://shiaonlinelibrary.com/الكتب/3590_الوافي-بالوفيات-الصفدي-ج-29" target="blank"><i>al-Maktaba al-Shīʿīya</i></a>	B	11657	0	256	967	1261	1354	1441	2201	2640	1510	2	2	6	1	2	1
i3564	<span class="titleWord">الوافي بالوفيات i3564 C</span> لــ الصفدي (764 هـ)	8th cent.	<a class="astUrl" href="http://shiaonlinelibrary.com/الكتب/3590_الوافي-بالوفيات-الصفدي-ج-29" target="blank"><i>al-Maktaba al-Shīʿīya</i></a>	C	11657	0	78	984	1279	1366	1455	2245	2693	1530	2	2	6	1	2	1
a6677	<span class="titleWord">الوافي بالوفيات a6677 A</span> لــ صلاح الدين خليل بن أيبك الصفدي (غير موجود)	No meta	<a class="astUrl" href="http://shamela.ws/index.php/book/6677" target="blank"><i>al-Maktaba al-Shāmila</i></a>	A	11644	0	1721	853	1085	1184	1245	1922	2302	1306	2	1	6	1	3	1
a6677	<span class="titleWord">الوافي بالوفيات a6677 B</span> لــ صلاح الدين خليل بن أيبك الصفدي (غير موجود)	No meta	<a class="astUrl" href="http://shamela.ws/index.php/book/6677" target="blank"><i>al-Maktaba al-Shāmila</i></a>	B	11644	0	287	972	1238	1389	1415	2191	2637	1486	2	1	7	1	3	1
a6677	<span class="titleWord">الوافي بالوفيات a6677 C</span> لــ صلاح الدين خليل بن أيبك الصفدي (غير موجود)	No meta	<a class="astUrl" href="http://shamela.ws/index.php/book/6677" target="blank"><i>al-Maktaba al-Shāmila</i></a>	C	11644	0	70	990	1258	1404	1441	2238	2695	1517	2	1	9	1	3	1
a22771	<span class="titleWord">تاريخ الإسلام ووفيات المشاهير والأعلام a22771 A</span> لــ شمس الدين أبو عبد الله محمد بن أحمد بن عثمان بن قايماز الذهبي  (748 هـ)	8th cent.	<a class="astUrl" href="http://shamela.ws/browse.php/book-22771" target="blank"><i>al-Maktaba al-Shāmila</i></a>	A	10877	0	5041	1779	1581	1228	1024	167	33	7	4	2	4	1	0	1
a22771	<span class="titleWord">تاريخ الإسلام ووفيات المشاهير والأعلام a22771 B</span> لــ شمس الدين أبو عبد الله محمد بن أحمد بن عثمان بن قايماز الذهبي  (748 هـ)	8th cent.	<a class="astUrl" href="http://shamela.ws/browse.php/book-22771" target="blank"><i>al-Maktaba al-Shāmila</i></a>	B	10877	0	2339	2590	2295	1796	1531	242	49	11	4	2	7	2	0	1
a22771	<span class="titleWord">تاريخ الإسلام ووفيات المشاهير والأعلام a22771 C</span> لــ شمس الدين أبو عبد الله محمد بن أحمد بن عثمان بن قايماز الذهبي  (748 هـ)	8th cent.	<a class="astUrl" href="http://shamela.ws/browse.php/book-22771" target="blank"><i>al-Maktaba al-Shāmila</i></a>	C	10877	0	469	3144	2810	2182	1873	292	63	15	4	2	9	3	0	1
i3356	<span class="titleWord">كشف الظنون i3356 A</span> لــ حاجي خليفة (1067 هـ)	11th cent.	<a class="astUrl" href="http://shiaonlinelibrary.com/الكتب/3357_كشف-الظنون-حاجي-خليفة-ج-2" target="blank"><i>al-Maktaba al-Shīʿīya</i></a>	A	10455	0	145	92	471	823	886	1098	1346	1728	1677	1646	479	34	4	4
i3356	<span class="titleWord">كشف الظنون i3356 B</span> لــ حاجي خليفة (1067 هـ)	11th cent.	<a class="astUrl" href="http://shiaonlinelibrary.com/الكتب/3357_كشف-الظنون-حاجي-خليفة-ج-2" target="blank"><i>al-Maktaba al-Shīʿīya</i></a>	B	10455	0	1	95	475	833	894	1115	1364	1753	1699	1679	483	34	4	4
i3356	<span class="titleWord">كشف الظنون i3356 C</span> لــ حاجي خليفة (1067 هـ)	11th cent.	<a class="astUrl" href="http://shiaonlinelibrary.com/الكتب/3357_كشف-الظنون-حاجي-خليفة-ج-2" target="blank"><i>al-Maktaba al-Shīʿīya</i></a>	C	10455	0	1	95	475	833	894	1115	1364	1753	1699	1679	483	34	4	4
a2118	<span class="titleWord">كشف الظنون عن أسامي الكتب والفنون a2118 A</span> لــ مصطفى بن عبد الله كاتب جلبي القسطنطيني المشهور باسم حاجي خليفة أو الحاج خليفة  (1067 هـ)	11th cent.	<a class="astUrl" href="http://shamela.ws/browse.php/book-2118" target="blank"><i>al-Maktaba al-Shāmila</i></a>	A	10432	0	176	93	471	820	874	1083	1342	1723	1669	1634	484	32	3	4
a2118	<span class="titleWord">كشف الظنون عن أسامي الكتب والفنون a2118 B</span> لــ مصطفى بن عبد الله كاتب جلبي القسطنطيني المشهور باسم حاجي خليفة أو الحاج خليفة  (1067 هـ)	11th cent.	<a class="astUrl" href="http://shamela.ws/browse.php/book-2118" target="blank"><i>al-Maktaba al-Shāmila</i></a>	B	10432	0	4	93	478	834	888	1104	1363	1756	1701	1658	490	32	3	4
a2118	<span class="titleWord">كشف الظنون عن أسامي الكتب والفنون a2118 C</span> لــ مصطفى بن عبد الله كاتب جلبي القسطنطيني المشهور باسم حاجي خليفة أو الحاج خليفة  (1067 هـ)	11th cent.	<a class="astUrl" href="http://shamela.ws/browse.php/book-2118" target="blank"><i>al-Maktaba al-Shāmila</i></a>	C	10432	0	1	93	478	834	888	1105	1363	1758	1701	1658	490	32	3	4
a10906	<span class="titleWord">سير أعلام النبلاء (ط بيت الأفكار) a10906 A</span> لــ محمد بن أحمد بن عثمان بن قايماز الذهبي شمس الدين أبو عبد الله (غير موجود)	No meta	<a class="astUrl" href="http://shamela.ws/index.php/book/10906" target="blank"><i>al-Maktaba al-Shāmila</i></a>	A	10293	0	2837	1159	1499	1505	1349	1196	709	32	0	2	3	0	0	0
a10906	<span class="titleWord">سير أعلام النبلاء (ط بيت الأفكار) a10906 B</span> لــ محمد بن أحمد بن عثمان بن قايماز الذهبي شمس الدين أبو عبد الله (غير موجود)	No meta	<a class="astUrl" href="http://shamela.ws/index.php/book/10906" target="blank"><i>al-Maktaba al-Shāmila</i></a>	B	10293	0	790	1474	1912	1925	1713	1514	913	43	0	2	3	2	0	0
a10906	<span class="titleWord">سير أعلام النبلاء (ط بيت الأفكار) a10906 C</span> لــ محمد بن أحمد بن عثمان بن قايماز الذهبي شمس الدين أبو عبد الله (غير موجود)	No meta	<a class="astUrl" href="http://shamela.ws/index.php/book/10906" target="blank"><i>al-Maktaba al-Shāmila</i></a>	C	10293	0	197	1585	2025	2048	1825	1602	955	47	0	2	3	2	0	0
j468	<span class="titleWord">كشف الظنون عن أسامي الكتب والفنون j468 A</span> لــ مصطفى بن عبدالله القسطنطيني الرومي الحنفي (1067 هـ)	11th cent.	<i>al-Jāmiʿ al-Kabīr</i>	A	10283	0	321	91	463	811	851	1056	1304	1686	1613	1564	461	32	4	3
j468	<span class="titleWord">كشف الظنون عن أسامي الكتب والفنون j468 B</span> لــ مصطفى بن عبدالله القسطنطيني الرومي الحنفي (1067 هـ)	11th cent.	<i>al-Jāmiʿ al-Kabīr</i>	B	10283	0	15	96	479	833	871	1092	1350	1747	1658	1605	473	34	4	3
j468	<span class="titleWord">كشف الظنون عن أسامي الكتب والفنون j468 C</span> لــ مصطفى بن عبدالله القسطنطيني الرومي الحنفي (1067 هـ)	11th cent.	<i>al-Jāmiʿ al-Kabīr</i>	C	10283	0	10	96	479	833	871	1093	1351	1748	1658	1607	473	34	4	3
i3283	<span class="titleWord">سير أعلام النبلاء i3283 A</span> لــ الذهبي (748 هـ)	8th cent.	<a class="astUrl" href="http://shiaonlinelibrary.com/الكتب/3305_سير-أعلام-النبلاء-الذهبي-ج-23" target="blank"><i>al-Maktaba al-Shīʿīya</i></a>	A	10090	0	2669	1155	1504	1483	1356	1182	701	33	0	2	4	0	0	0
i3283	<span class="titleWord">سير أعلام النبلاء i3283 B</span> لــ الذهبي (748 هـ)	8th cent.	<a class="astUrl" href="http://shiaonlinelibrary.com/الكتب/3305_سير-أعلام-النبلاء-الذهبي-ج-23" target="blank"><i>al-Maktaba al-Shīʿīya</i></a>	B	10090	0	735	1461	1922	1847	1734	1458	881	44	0	2	4	0	0	0
i3283	<span class="titleWord">سير أعلام النبلاء i3283 C</span> لــ الذهبي (748 هـ)	8th cent.	<a class="astUrl" href="http://shiaonlinelibrary.com/الكتب/3305_سير-أعلام-النبلاء-الذهبي-ج-23" target="blank"><i>al-Maktaba al-Shīʿīya</i></a>	C	10090	0	169	1540	2054	1958	1833	1555	928	45	0	2	4	0	0	0
j151	<span class="titleWord">سير أعلام النبلاء j151 A</span> لــ محمد بن أحمد بن عثمان بن قايماز الذهبي أبو عبد الله (748 هـ)	8th cent.	<i>al-Jāmiʿ al-Kabīr</i>	A	9991	0	2702	1147	1478	1461	1314	1179	688	14	0	2	4	0	0	0
j151	<span class="titleWord">سير أعلام النبلاء j151 B</span> لــ محمد بن أحمد بن عثمان بن قايماز الذهبي أبو عبد الله (748 هـ)	8th cent.	<i>al-Jāmiʿ al-Kabīr</i>	B	9991	0	815	1434	1832	1846	1687	1493	855	20	0	2	4	1	0	0
j151	<span class="titleWord">سير أعلام النبلاء j151 C</span> لــ محمد بن أحمد بن عثمان بن قايماز الذهبي أبو عبد الله (748 هـ)	8th cent.	<i>al-Jāmiʿ al-Kabīr</i>	C	9991	0	154	1530	1969	1966	1821	1602	917	23	0	2	4	1	0	0
a22669	<span class="titleWord">سير أعلام النبلاء a22669 A</span> لــ شمس الدين أبو عبد الله محمد بن أحمد بن عثمان بن قايماز الذهبي  (748 هـ)	8th cent.	<a class="astUrl" href="http://shamela.ws/browse.php/book-22669" target="blank"><i>al-Maktaba al-Shāmila</i></a>	A	9275	0	2519	875	1141	1473	1337	1169	705	48	0	2	4	0	0	0
a22669	<span class="titleWord">سير أعلام النبلاء a22669 B</span> لــ شمس الدين أبو عبد الله محمد بن أحمد بن عثمان بن قايماز الذهبي  (748 هـ)	8th cent.	<a class="astUrl" href="http://shamela.ws/browse.php/book-22669" target="blank"><i>al-Maktaba al-Shāmila</i></a>	B	9275	0	729	1094	1457	1850	1708	1474	890	64	0	2	5	0	0	0
a22669	<span class="titleWord">سير أعلام النبلاء a22669 C</span> لــ شمس الدين أبو عبد الله محمد بن أحمد بن عثمان بن قايماز الذهبي  (748 هـ)	8th cent.	<a class="astUrl" href="http://shamela.ws/browse.php/book-22669" target="blank"><i>al-Maktaba al-Shāmila</i></a>	C	9275	0	230	1142	1540	1947	1821	1577	940	69	0	2	5	0	0	0
j885	<span class="titleWord">تاريخ بغداد j885 A</span> لــ أحمد بن علي أبو بكر الخطيب البغدادي (463 هـ)	5th cent.	<i>al-Jāmiʿ al-Kabīr</i>	A	7432	0	1071	736	2165	2641	810	2	1	1	0	1	3	0	0	0
j885	<span class="titleWord">تاريخ بغداد j885 B</span> لــ أحمد بن علي أبو بكر الخطيب البغدادي (463 هـ)	5th cent.	<i>al-Jāmiʿ al-Kabīr</i>	B	7432	0	153	857	2477	3013	921	3	1	1	0	1	3	1	0	0
j885	<span class="titleWord">تاريخ بغداد j885 C</span> لــ أحمد بن علي أبو بكر الخطيب البغدادي (463 هـ)	5th cent.	<i>al-Jāmiʿ al-Kabīr</i>	C	7432	0	77	865	2512	3042	925	3	1	1	0	1	3	1	0	0
a736	<span class="titleWord">تاريخ بغداد a736 A</span> لــ أبو بكر أحمد بن علي بن ثابت بن أحمد بن مهدي الخطيب البغدادي  (463 هـ)	5th cent.	<a class="astUrl" href="http://shamela.ws/browse.php/book-736" target="blank"><i>al-Maktaba al-Shāmila</i></a>	A	7427	0	1088	726	2171	2638	795	1	1	2	0	1	4	0	0	0
a736	<span class="titleWord">تاريخ بغداد a736 B</span> لــ أبو بكر أحمد بن علي بن ثابت بن أحمد بن مهدي الخطيب البغدادي  (463 هـ)	5th cent.	<a class="astUrl" href="http://shamela.ws/browse.php/book-736" target="blank"><i>al-Maktaba al-Shāmila</i></a>	B	7427	0	150	843	2492	3024	909	1	1	2	0	1	4	0	0	0
a736	<span class="titleWord">تاريخ بغداد a736 C</span> لــ أبو بكر أحمد بن علي بن ثابت بن أحمد بن مهدي الخطيب البغدادي  (463 هـ)	5th cent.	<a class="astUrl" href="http://shamela.ws/browse.php/book-736" target="blank"><i>al-Maktaba al-Shāmila</i></a>	C	7427	0	89	860	2522	3035	912	1	1	2	0	1	4	0	0	0
i3129	<span class="titleWord">تاريخ بغداد i3129 A</span> لــ الخطيب البغدادي (463 هـ)	5th cent.	<a class="astUrl" href="http://shiaonlinelibrary.com/الكتب/3142_تاريخ-بغداد-الخطيب-البغدادي-ج-14" target="blank"><i>al-Maktaba al-Shīʿīya</i></a>	A	7420	0	1057	736	2170	2652	793	2	1	1	0	1	6	0	0	0
i3129	<span class="titleWord">تاريخ بغداد i3129 B</span> لــ الخطيب البغدادي (463 هـ)	5th cent.	<a class="astUrl" href="http://shiaonlinelibrary.com/الكتب/3142_تاريخ-بغداد-الخطيب-البغدادي-ج-14" target="blank"><i>al-Maktaba al-Shīʿīya</i></a>	B	7420	0	145	845	2493	3011	912	3	1	2	0	1	6	0	0	0
i3129	<span class="titleWord">تاريخ بغداد i3129 C</span> لــ الخطيب البغدادي (463 هـ)	5th cent.	<a class="astUrl" href="http://shiaonlinelibrary.com/الكتب/3142_تاريخ-بغداد-الخطيب-البغدادي-ج-14" target="blank"><i>al-Maktaba al-Shīʿīya</i></a>	C	7420	0	76	863	2511	3034	923	3	1	1	0	1	6	0	0	0
i3362	<span class="titleWord">هدية العارفين i3362 A</span> لــ إسماعيل باشا البغدادي (1339 هـ)	14th cent.	<a class="astUrl" href="http://shiaonlinelibrary.com/الكتب/3363_هدية-العارفين-إسماعيل-باشا-البغدادي-ج-2" target="blank"><i>al-Maktaba al-Shīʿīya</i></a>	A	6972	0	88	143	471	527	523	530	625	552	593	627	779	761	582	164
i3362	<span class="titleWord">هدية العارفين i3362 B</span> لــ إسماعيل باشا البغدادي (1339 هـ)	14th cent.	<a class="astUrl" href="http://shiaonlinelibrary.com/الكتب/3363_هدية-العارفين-إسماعيل-باشا-البغدادي-ج-2" target="blank"><i>al-Maktaba al-Shīʿīya</i></a>	B	6972	0	0	145	475	534	529	539	635	559	603	633	791	766	592	164
i3362	<span class="titleWord">هدية العارفين i3362 C</span> لــ إسماعيل باشا البغدادي (1339 هـ)	14th cent.	<a class="astUrl" href="http://shiaonlinelibrary.com/الكتب/3363_هدية-العارفين-إسماعيل-باشا-البغدادي-ج-2" target="blank"><i>al-Maktaba al-Shīʿīya</i></a>	C	6972	0	0	145	475	534	529	539	635	559	603	633	791	766	592	164
a3003	<span class="titleWord">هدية العارفين أسماء المؤلفين وآثار المصنفين a3003 A</span> لــ إسماعيل بن محمد أمين بن مير سليم الباباني البغدادي  (1399 هـ)	14th cent.	<a class="astUrl" href="http://shamela.ws/browse.php/book-3003" target="blank"><i>al-Maktaba al-Shāmila</i></a>	A	6950	0	148	141	462	515	525	526	604	561	586	614	779	749	573	160
a3003	<span class="titleWord">هدية العارفين أسماء المؤلفين وآثار المصنفين a3003 B</span> لــ إسماعيل بن محمد أمين بن مير سليم الباباني البغدادي  (1399 هـ)	14th cent.	<a class="astUrl" href="http://shamela.ws/browse.php/book-3003" target="blank"><i>al-Maktaba al-Shāmila</i></a>	B	6950	0	3	142	473	522	539	538	613	575	600	626	797	767	586	162
